,category,task,head,layer,img,pcc,rmse
101,vehicle,DET,0,6,1201,0.5329285893180609,0.05620308704492542
102,vehicle,DET,0,7,1201,0.26196610890407557,0.10231066631724275
103,vehicle,DET,0,8,1201,0.7768754558094964,0.043781891287182025
104,vehicle,DET,0,9,1201,0.7853218498937655,0.04441124997974728
105,vehicle,DET,0,10,1201,0.8429144840430877,0.037025541508482133
106,vehicle,DET,0,11,1201,0.7280448025703545,0.055068482123814474
107,vehicle,DET,0,12,1201,0.7439764973276303,0.05365428137899824
108,vehicle,DET,0,13,1201,0.4390674333488075,0.06359448195800116
109,vehicle,DET,0,14,1201,,
110,vehicle,DET,0,15,1201,,
111,vehicle,DET,0,1,1209,0.5921076326480078,0.044403226937471105
112,vehicle,DET,0,2,1209,0.6287242110451629,0.04181409271595497
113,vehicle,DET,0,3,1209,0.7380594460463162,0.03882453375049967
114,vehicle,DET,0,4,1209,0.7074124788494849,0.0391971893877969
115,vehicle,DET,0,5,1209,0.8375454138088245,0.032303822926271625
116,vehicle,DET,0,6,1209,0.12247581446061787,0.07755152596552682
117,vehicle,DET,0,7,1209,0.37565007607721623,0.07243550296371694
118,vehicle,DET,0,8,1209,0.680129769705901,0.0442726287082922
119,vehicle,DET,0,9,1209,0.7560449989795452,0.03490406088943226
120,vehicle,DET,0,10,1209,0.7693740409582505,0.033651448537124894
121,vehicle,DET,0,11,1209,0.4187276101695884,0.04676983883644898
122,vehicle,DET,0,12,1209,0.4187276097821647,0.04676983888318205
123,vehicle,DET,0,13,1209,0.44866534484842213,0.04710303684848175
124,vehicle,DET,0,14,1209,,
125,vehicle,DET,0,15,1209,,
126,vehicle,DET,0,1,1226,0.5690064896221069,0.0747802318341973
127,vehicle,DET,0,2,1226,0.6413895135312832,0.07350089824904976
128,vehicle,DET,0,3,1226,0.5652752669215768,0.07184546961977177
129,vehicle,DET,0,4,1226,0.663198875508183,0.07343372969357331
130,vehicle,DET,0,5,1226,0.6009304632155189,0.0671589897097181
131,vehicle,DET,0,6,1226,0.48621920847429806,0.07305786604779034
132,vehicle,DET,0,7,1226,0.644913491486968,0.0743707658390856
133,vehicle,DET,0,8,1226,0.7776176876076945,0.05391508495685637
134,vehicle,DET,0,9,1226,0.7563143003235341,0.055983262789402036
135,vehicle,DET,0,10,1226,0.8011770421734705,0.05715662365025788
136,vehicle,DET,0,11,1226,0.5569248972889002,0.07578904720200223
137,vehicle,DET,0,12,1226,0.648255317196296,0.07340097974259897
138,vehicle,DET,0,13,1226,0.33808886617401046,0.08179520776193777
139,vehicle,DET,0,14,1226,,
140,vehicle,DET,0,15,1226,,
141,vehicle,DET,0,1,1252,0.5156726248210523,0.05942326447791476
142,vehicle,DET,0,2,1252,0.6230197390303207,0.05992079763460633
143,vehicle,DET,0,3,1252,0.6173156179834871,0.05991520137882048
144,vehicle,DET,0,4,1252,0.6134491733001874,0.05903766895113713
145,vehicle,DET,0,5,1252,0.6243019813245085,0.05331657242221167
