,category,task,layer,img,pred_idx,pcc,rmse
38,vehicle,DET,13,1031,0,0.23645106456285342,0.10917631580637778
39,vehicle,DET,1,1031,1,0.551941824483174,0.06485013042191877
40,vehicle,DET,2,1031,1,0.3849414072970769,0.07088455790296343
41,vehicle,DET,3,1031,1,0.38820618666495604,0.07267029244669616
42,vehicle,DET,4,1031,1,0.6167451084121237,0.06143943369014837
43,vehicle,DET,5,1031,1,0.5137653314305737,0.07381556396835948
44,vehicle,DET,6,1031,1,0.5386530882041846,0.06438826470162294
45,vehicle,DET,7,1031,1,0.09228256219871837,0.10452736545721042
46,vehicle,DET,8,1031,1,0.7860682604672575,0.048460046588409994
47,vehicle,DET,9,1031,1,0.9246542379749267,0.029058614497858626
48,vehicle,DET,10,1031,1,0.4493952444941472,0.06973244567977403
49,vehicle,DET,11,1031,1,0.7432923194673826,0.058728237762645956
50,vehicle,DET,12,1031,1,0.7705370459512157,0.05554792417328607
51,vehicle,DET,13,1031,1,0.5014732346228197,0.06919646113097938
52,vehicle,DET,1,1031,2,0.3588354002232137,0.06880982579550993
53,vehicle,DET,2,1031,2,0.2975080378286196,0.0739745380214075
54,vehicle,DET,3,1031,2,0.24446612498417197,0.07208373856622256
55,vehicle,DET,4,1031,2,0.5903287252263416,0.05790807548313619
56,vehicle,DET,5,1031,2,0.4963150324143171,0.06508213869003672
57,vehicle,DET,6,1031,2,0.5463289083189088,0.07164639142143608
58,vehicle,DET,7,1031,2,0.6369611044429268,0.06305219572577309
59,vehicle,DET,8,1031,2,0.8311682946821,0.041491890516556176
60,vehicle,DET,9,1031,2,0.7598727452611914,0.04681838440390027
61,vehicle,DET,10,1031,2,0.7518417611488695,0.047476387836424626
62,vehicle,DET,11,1031,2,0.803622713358144,0.04588997256190303
63,vehicle,DET,12,1031,2,0.8298597786781327,0.04304812913474459
64,vehicle,DET,13,1031,2,0.7373618886137113,0.05185321356344683
65,vehicle,DET,1,1031,3,0.5829757835153397,0.050146715510580524
66,vehicle,DET,2,1031,3,0.5926692609423206,0.048858001329142316
67,vehicle,DET,3,1031,3,0.5507031048191355,0.050702632302037025
68,vehicle,DET,4,1031,3,0.561745494870364,0.0516046699943846
69,vehicle,DET,5,1031,3,0.6299349707153575,0.04708876807548656
70,vehicle,DET,6,1031,3,0.461636339594105,0.054463769677353405
71,vehicle,DET,7,1031,3,0.7127371176954419,0.04844166113069856
72,vehicle,DET,8,1031,3,0.6067862747027389,0.05087442146797104
73,vehicle,DET,9,1031,3,0.7948488607827021,0.04198770796381687
74,vehicle,DET,10,1031,3,0.599132796864544,0.05109854578089916
75,vehicle,DET,11,1031,3,0.6599491522141325,0.045651816752591674
76,vehicle,DET,12,1031,3,0.4772376664933504,0.05322893431293648
77,vehicle,DET,13,1031,3,0.7210726365508809,0.04568352894589398
78,vehicle,DET,1,1041,0,0.39850622296228694,0.07696849186768455
79,vehicle,DET,2,1041,0,0.3151987660895139,0.07980689047917175
80,vehicle,DET,3,1041,0,0.39837977855871903,0.08333702467504342
81,vehicle,DET,4,1041,0,0.4545174148282622,0.07512097868354561
82,vehicle,DET,5,1041,0,0.49239649670040464,0.07953612707230512
83,vehicle,DET,6,1041,0,0.32323830577920554,0.09635868964897498
84,vehicle,DET,7,1041,0,0.37314852082572164,0.09882608244933716
85,vehicle,DET,8,1041,0,0.32615502685625125,0.10801821820890707
86,vehicle,DET,9,1041,0,0.6031711387855446,0.0677861246545274
87,vehicle,DET,10,1041,0,0.5151422120594855,0.07981198323984016
88,vehicle,DET,11,1041,0,0.7559882634954631,0.059955488519825066
89,vehicle,DET,12,1041,0,0.8220205564405006,0.052197938095285376
90,vehicle,DET,13,1041,0,0.6771733312488127,0.06725640164305836
91,vehicle,DET,1,1041,1,0.6231444540252625,0.05463132099637687
92,vehicle,DET,2,1041,1,0.6346254440823486,0.055086134250900906
93,vehicle,DET,3,1041,1,0.6401575204253233,0.05449566444544984
94,vehicle,DET,4,1041,1,0.5794456372964809,0.05669874137609669
95,vehicle,DET,5,1041,1,0.5677673816371606,0.0564124105220125
96,vehicle,DET,6,1041,1,0.33135383921530964,0.06747473864385968
97,vehicle,DET,7,1041,1,0.554473590817837,0.1022980569646148
98,vehicle,DET,8,1041,1,0.8578198372785488,0.064129721271911
99,vehicle,DET,9,1041,1,0.9094091765418247,0.04063303956753472
100,vehicle,DET,10,1041,1,0.910767419013968,0.04666299866985353
101,vehicle,DET,11,1041,1,0.7053313174273913,0.05058009807967528
102,vehicle,DET,12,1041,1,0.5116391140442447,0.05893750306029177
103,vehicle,DET,13,1041,1,0.6157624882417901,0.057106947570033595
104,vehicle,DET,1,1041,2,0.4602959675622297,0.05202229486494954
105,vehicle,DET,2,1041,2,0.4038178017823645,0.05368312493306486
106,vehicle,DET,3,1041,2,0.5586366156764596,0.04850175837482956
107,vehicle,DET,4,1041,2,0.5205708608172108,0.05072322968048164
108,vehicle,DET,5,1041,2,0.5832088071165971,0.04811613223426076
109,vehicle,DET,6,1041,2,0.696487996643767,0.04270747503575879
110,vehicle,DET,7,1041,2,0.5238395876140787,0.056935289368688094
111,vehicle,DET,8,1041,2,0.8172407852421155,0.0486358587086966
112,vehicle,DET,9,1041,2,0.7380019667919855,0.043682095367948634
113,vehicle,DET,10,1041,2,0.6732939322166244,0.04653573334444614
114,vehicle,DET,11,1041,2,0.6870928549453843,0.04280924677046061
115,vehicle,DET,12,1041,2,0.7226858553694175,0.04070295453742561
116,vehicle,DET,13,1041,2,0.6592928232890664,0.04419893600241107
117,vehicle,DET,1,1079,0,0.4085589972917868,0.054923126564003444
118,vehicle,DET,2,1079,0,0.45888441884965436,0.05328062782409444
119,vehicle,DET,3,1079,0,0.4022127532288084,0.05494950220398191
120,vehicle,DET,4,1079,0,0.3737961726679687,0.055836640673222
121,vehicle,DET,5,1079,0,0.4346590587784459,0.05692864182977098
122,vehicle,DET,6,1079,0,0.36680396198247794,0.06006281220255741
123,vehicle,DET,7,1079,0,0.022051092057940553,0.12052746869018675
124,vehicle,DET,8,1079,0,0.47589051396662096,0.07480790897753734
125,vehicle,DET,9,1079,0,0.9128865766043598,0.02565963082108177
126,vehicle,DET,10,1079,0,0.9128865765290096,0.025659630044683145
127,vehicle,DET,11,1079,0,0.2880643320462443,0.05822230387376129
128,vehicle,DET,12,1079,0,0.31588905357855096,0.057553270271760125
129,vehicle,DET,13,1079,0,0.19071888178807095,0.05924415866117229
130,vehicle,DET,1,1079,1,0.5395218204182615,0.047451716689200604
131,vehicle,DET,2,1079,1,0.37463601696744575,0.052607317955635315
132,vehicle,DET,3,1079,1,0.5277147447116386,0.048333482005609725
133,vehicle,DET,4,1079,1,0.45411560299746423,0.05022438444239764
134,vehicle,DET,5,1079,1,0.7210722160700652,0.039422814513029
135,vehicle,DET,6,1079,1,0.6327928781179214,0.04488749001737806
136,vehicle,DET,7,1079,1,0.397028105954675,0.08512707401186216
137,vehicle,DET,8,1079,1,0.8602586911692275,0.0292548595413163
138,vehicle,DET,9,1079,1,0.9062467041726833,0.025015109977433066
139,vehicle,DET,10,1079,1,0.8891838149604443,0.027815229668634294
140,vehicle,DET,11,1079,1,0.6806375840372176,0.043246301405065635
141,vehicle,DET,12,1079,1,0.5965671946408562,0.04631233832954838
142,vehicle,DET,13,1079,1,0.4792583623648386,0.05087085681536534
143,vehicle,DET,1,1079,2,0.6773445185458888,0.045796558574567194
144,vehicle,DET,2,1079,2,0.6841939811197828,0.04151420763800427
145,vehicle,DET,3,1079,2,0.7294115545058697,0.04040414669676686
146,vehicle,DET,4,1079,2,0.7042205584955528,0.04173535408305847
147,vehicle,DET,5,1079,2,0.6587346824231863,0.04095671897103587
148,vehicle,DET,6,1079,2,0.5110231942533682,0.05898434616604653
149,vehicle,DET,7,1079,2,0.4011792212459957,0.06573440040259063
150,vehicle,DET,8,1079,2,0.6409262197305661,0.04322015412800099
151,vehicle,DET,9,1079,2,0.6294847555368666,0.043487410234819175
152,vehicle,DET,10,1079,2,0.6379502051849049,0.043198379968227014
153,vehicle,DET,11,1079,2,0.7216255695266627,0.0390768029371681
154,vehicle,DET,12,1079,2,0.8863995390207638,0.028697566285231763
155,vehicle,DET,13,1079,2,0.424964756550011,0.04918756411374523
156,vehicle,DET,1,1079,3,0.3079714822492719,0.06749623587249196
157,vehicle,DET,2,1079,3,0.35980218055140617,0.06600927830127151
158,vehicle,DET,3,1079,3,0.3166677769655996,0.06828744703797361
159,vehicle,DET,4,1079,3,0.39590279705044534,0.0710551542605973
160,vehicle,DET,5,1079,3,0.5680945385413968,0.06599317917093554
161,vehicle,DET,6,1079,3,0.6480718235994002,0.0654228726266298
162,vehicle,DET,7,1079,3,0.5991478854314345,0.07071387231918137
163,vehicle,DET,8,1079,3,0.7465416860378425,0.0477486324953623
164,vehicle,DET,9,1079,3,0.8022659792180363,0.041526014368202815
165,vehicle,DET,10,1079,3,0.9055327214353162,0.03471838312346247
166,vehicle,DET,11,1079,3,0.9110585083252449,0.0307115739943206
167,vehicle,DET,12,1079,3,0.9231679101382221,0.028530965530253447
168,vehicle,DET,13,1079,3,0.7107296064036958,0.050522283108835386
169,vehicle,DET,1,1099,0,0.592136233693825,0.04652657566113255
170,vehicle,DET,2,1099,0,0.656557343134429,0.045380137085542616
171,vehicle,DET,3,1099,0,0.6910849470076016,0.041617774978085165
172,vehicle,DET,4,1099,0,0.6030746209938868,0.04555897383493987
173,vehicle,DET,5,1099,0,0.5868174637454368,0.05679234832513159
174,vehicle,DET,6,1099,0,0.3286295045577146,0.06973854723020842
175,vehicle,DET,7,1099,0,0.34585668228730665,0.10169086233115465
176,vehicle,DET,8,1099,0,0.8496847860084477,0.02927957774445622
177,vehicle,DET,9,1099,0,0.8511593816152613,0.028949143070764273
178,vehicle,DET,10,1099,0,0.8503166201230973,0.029025055045861652
179,vehicle,DET,11,1099,0,0.4476643904809459,0.049580096863642925
180,vehicle,DET,12,1099,0,0.7012652373856489,0.039553097406595385
181,vehicle,DET,13,1099,0,0.37107987574607415,0.05203111033505776
182,vehicle,DET,1,1099,1,0.5702199592418612,0.04426657651091235
183,vehicle,DET,2,1099,1,0.5572807358052025,0.04535003587349736
184,vehicle,DET,3,1099,1,0.6564358759917222,0.03981235109774846
185,vehicle,DET,4,1099,1,0.7074945455289138,0.04044962957814785
186,vehicle,DET,5,1099,1,0.6163668319885904,0.04146992629290647
187,vehicle,DET,6,1099,1,0.7843149827864407,0.034367164263868315
188,vehicle,DET,7,1099,1,0.13898689762260102,0.09719495220413732
189,vehicle,DET,8,1099,1,0.4505915853022383,0.0565496977135663
190,vehicle,DET,9,1099,1,0.18889474080440893,0.0646613577555523
191,vehicle,DET,10,1099,1,0.2158376216163142,0.08116434118525208
192,vehicle,DET,11,1099,1,0.7369716773440697,0.038388417356047616
193,vehicle,DET,12,1099,1,0.11036923961805364,0.06110583594275942
194,vehicle,DET,13,1099,1,0.6021472866522586,0.04461341967922496
195,vehicle,DET,1,1099,2,0.603732879243311,0.043863643234514985
196,vehicle,DET,2,1099,2,0.6097148471915317,0.04310149337292695
197,vehicle,DET,3,1099,2,0.4715857307436283,0.044355891520917186
198,vehicle,DET,4,1099,2,0.6381274282723131,0.04230314708207203
199,vehicle,DET,5,1099,2,0.7581525732600465,0.033099705663185965
200,vehicle,DET,6,1099,2,0.6186032759123006,0.03952470373493616
201,vehicle,DET,7,1099,2,0.8100602375279546,0.04371877915433891
202,vehicle,DET,8,1099,2,0.8443368434274625,0.03684695367240482
203,vehicle,DET,9,1099,2,0.8360004704384582,0.04113145173583005
204,vehicle,DET,10,1099,2,0.8209885285956127,0.0403281149944825
205,vehicle,DET,11,1099,2,0.6846926173351237,0.03694377551770382
206,vehicle,DET,12,1099,2,0.6169794614468521,0.039809013927544046
207,vehicle,DET,13,1099,2,0.4628342070791996,0.04595299361932654
208,vehicle,DET,1,113,0,0.30179793491436613,0.07762632405969348
209,vehicle,DET,2,113,0,0.3026429136907178,0.08036154913729526
210,vehicle,DET,3,113,0,0.342046853655582,0.08284190427213436
211,vehicle,DET,4,113,0,0.24563924546354693,0.08608090061209477
212,vehicle,DET,5,113,0,0.13265663366221517,0.09905168024394574
213,vehicle,DET,6,113,0,0.1786068956460812,0.08758514292190837
214,vehicle,DET,7,113,0,0.3067353051714587,0.13406008006558576
215,vehicle,DET,8,113,0,0.19745360857572739,0.10042210298539347
216,vehicle,DET,9,113,0,0.11722532858419063,0.10297430900056644
217,vehicle,DET,10,113,0,0.16326809596614267,0.10212576065406777
218,vehicle,DET,11,113,0,0.195496796598791,0.08284641208010755
219,vehicle,DET,12,113,0,0.21106948615591448,0.08282543987139593
220,vehicle,DET,13,113,0,0.09264127172317993,0.08229049713783852
221,vehicle,DET,1,113,1,0.24609227086715804,0.08896920429164694
222,vehicle,DET,2,113,1,0.2971314841879665,0.08865339707112196
223,vehicle,DET,3,113,1,0.3049525644380605,0.09300051474311079
224,vehicle,DET,4,113,1,0.24167221881828935,0.09496431275305436
225,vehicle,DET,5,113,1,0.22298542563442267,0.1045790006696416
226,vehicle,DET,6,113,1,0.18974140977477127,0.10879730220881598
227,vehicle,DET,7,113,1,0.25578964918000674,0.11553402556808226
228,vehicle,DET,8,113,1,0.37001840420996723,0.08730199604673128
