,image,1,2,3,4
42,cell phone_480212,0.38674411837140144,0.2831580872019601,0.3821614066008423,0.1971866130483076
43,chair_190236,0.3495185916254515,0.6088507677931506,0.432197740131526,0.23553624133714024
44,chair_81061,0.42917372661968534,0.19382614272957233,0.2451061176735068,0.16493463683596002
45,clock_60363,0.41696618944460234,0.5192220725937865,0.3019700852771317,0.20289456635722486
46,couch_29596,0.17906326755119784,0.03478766531507819,0.130088253415072,0.07950285031976466
47,couch_31735,0.31099163688390796,0.17607393991795472,0.24529573729090176,0.20633223846347412
48,cow_361268,0.37545798914842227,0.46262445403739644,0.35834066281405136,0.28449969511718476
49,cow_545958,0.3640375130333343,0.4297879546265205,0.3367245474867598,0.23052886211689935
50,cup_226171,0.177805109305452,0.3107753202454801,0.22526358209814124,0.14250857320543936
51,cup_323151,0.17925601047791206,0.2569245732322529,0.1825316523222347,0.12863001716736255
52,dining table_385029,-0.04203268684344062,-0.00471434776226289,0.0975394884627059,0.0822405605465086
53,dining table_480122,-0.06287228493454015,0.017403753804084238,-0.018182346461124068,-0.014793405961159183
54,dog_331075,0.3301017341018414,0.48507206086132787,0.26320973215466764,0.1367440033880908
55,dog_357459,0.4885471368167522,0.5815199914315333,0.31251019612843317,0.25167519080000855
56,donut_109798,0.42734157581460147,0.5138056998725297,0.24914755519750778,0.24656507664010802
57,donut_148957,0.1042799114582623,0.1788233513034748,0.10601704018162834,0.06469610913468665
58,elephant_83113,0.377545863171236,0.48427203434031335,0.28475368266390244,0.19773467411884255
59,elephant_97230,0.21992582276438505,0.6193416105239616,0.33104140494170076,0.21685724217483057
60,fire hydrant_293071,0.528049230927198,0.7103229659997011,0.31917079185768554,0.2599605001106826
61,fire hydrant_344909,0.21182390456461375,0.02331746539622179,0.09801445212904997,0.038320182338551
62,fork_243626,0.17328406210545783,0.2496242854193993,0.18567447095286416,0.09917383045598513
63,fork_250766,0.47459166563776406,0.4503805822099696,0.18758318602369614,0.17368839559651927
64,frisbee_139872,0.06296335760250131,0.06870201336235265,0.08459362891045011,0.04096171646833692
65,frisbee_357459,0.21245758642737736,0.15223077350278644,0.13172336228313875,0.08601170548927878
66,giraffe_287545,0.22696014661930997,0.3403749486741697,0.2233775741204094,0.11437556197332882
67,giraffe_289659,0.672963408201965,0.4394592733289992,0.2912762082461054,0.2835948331719638
68,handbag_250127,0.34884815059418167,0.26138464199565953,0.37590865622472636,0.25113635042164417
69,handbag_383842,0.3860039466901532,0.5701776854089475,0.4151477376283989,0.2254201297109636
70,horse_382088,0.4270793831346521,0.037196897742455236,0.3267970656893439,0.20544440418715265
71,horse_439715,0.29941606244195795,0.38704610456926797,0.24172471862738476,0.15258668000214243
72,hot dog_311950,0.45703365116217487,0.09125467558285388,0.33337743961892563,0.19207204701644415
