,image,1,2,3,4
53,dining table_480122,0.0428822099367051,0.06705234688295453,0.10506340668287907,0.024020009014321702
54,dog_331075,0.37644471565523185,0.16248022565793033,-0.009769083885453049,0.12179271768670456
55,dog_357459,0.6634454274170496,0.24903613198269078,0.5100806684920083,0.2296661537738333
56,donut_109798,0.3186878567695411,0.2949128447997171,0.336750238325886,0.2593113670909429
57,donut_148957,0.4433891841813465,0.2304078569186495,0.19138351999993683,0.17339281621427888
58,elephant_83113,0.21884238145751234,0.13091794537068033,0.1403655496046262,0.12272817569175914
59,elephant_97230,0.5490715376133732,0.4292005462977822,0.2738866097798603,0.37730465054227386
60,fire hydrant_293071,0.6257215611753609,0.2641891201383572,0.3013837715524799,0.30731255718959194
61,fire hydrant_344909,0.16967086708786988,0.0435440103947212,0.011968806489760273,-0.012383763148179223
62,fork_243626,0.4947204371967485,0.31221669212696496,0.23157297502465926,0.23851704830737475
63,fork_250766,0.5180932982189138,0.3527024115973644,0.32588393939099897,0.2880217013886361
64,frisbee_139872,0.11962128718605267,0.18056437330679492,0.04073653196713923,0.0722197665258785
65,frisbee_357459,0.4341834491991338,0.21006130161192932,0.24489180524623078,0.18509980668327122
66,giraffe_287545,0.507558302259772,0.32037707111599867,0.29863683170068805,0.213748755404329
67,giraffe_289659,0.41037812771103155,0.2064073111234984,0.4578006819022655,0.23778791160523616
68,handbag_250127,0.3761962376982704,0.3743366381487516,0.13658225710614683,0.23067481238389975
69,handbag_383842,0.5262392582133393,0.3546652484936316,0.14782976099616088,0.1785539908934553
70,horse_382088,0.27818187640107317,0.26028485958593245,0.4492696706582098,0.13218055918316654
71,horse_439715,0.32867420377837464,0.19877846165418095,0.0714633614082394,0.1412520265564667
72,hot dog_311950,0.25141087980474247,0.24635206254397965,0.3306972776443495,0.09806074719859506
73,hot dog_400082,0.26277032495570884,0.19104730032658007,0.38554814590814385,0.16261433358249852
74,keyboard_378099,0.24906539430073027,0.1829835874486255,0.28291086753734623,0.111366337991938
75,keyboard_66635,0.30260087950456405,0.22095190465456035,0.08707530125450558,0.14812852680447236
