,image,1,2,3,4
32,bus_226154,0.19827859779838053,0.23127343594308683,0.16693137681084527,0.07601568433609328
33,cake_119677,0.4911364562892151,0.5080597333697421,0.41202467456610214,0.2749258303956246
34,cake_189451,0.18443654766669113,0.10323627542971177,0.171537378263698,0.11730168221166179
35,car_227511,0.04729100198341966,0.01555324513215034,0.13350689243230124,0.08413811825165439
36,car_310072,-0.0359067213194278,-0.03674786320331278,-0.03646853347086579,-0.028264035194794934
37,carrot_130613,0.09822541565896713,0.15958684250900035,0.07579404278713738,0.05728490272204204
38,carrot_287667,0.2359130230052884,0.2933811691710167,0.2624849989427925,0.19949258118544536
39,cat_101420,0.4239079121225376,0.5178227568980156,0.4053175962358904,0.2760782811006566
40,cat_558073,0.3740688158179559,0.054028263201345066,0.21623002846738856,0.0817101690178221
41,cell phone_396729,0.20903596870934615,0.19738444325026716,0.21934298657420712,0.14560754712426444
42,cell phone_480212,0.3190032041849748,0.1852974268364643,0.33033903240575374,0.16586386279895862
43,chair_190236,0.110213200316481,0.27887805729089316,0.2139404256069058,0.14643074756771685
44,chair_81061,0.27556750934323526,0.07198601848745971,0.09137009398971717,0.08151964323814412
45,clock_60363,0.2868945548870796,0.32310404223168515,0.18597408893747622,0.12841337221164112
46,couch_29596,-0.06745084504072203,-0.0343081690716612,-0.06449459712639329,-0.04014726456744706
47,couch_31735,0.15877759632124785,0.09223191819279121,0.14456097309951138,0.1285282236427986
48,cow_361268,0.43941826508629456,0.5566256986317506,0.4641611691158721,0.3862910767795975
49,cow_545958,0.173838700415625,0.24447636389299676,0.16588734021080495,0.11521427326533865
50,cup_226171,-0.023922087613111282,0.015322966948514509,0.001744075210237077,0.00035530032288358176
51,cup_323151,0.015496817415113856,0.05384727922122292,0.0214469249383899,0.017114712137621457
52,dining table_385029,-0.01901816347674715,-0.02581152629858742,0.1122645293646218,0.08777520508845062
53,dining table_480122,-0.15222428326152634,-0.013049168384032287,-0.10937862163216185,-0.08045508106061988
54,dog_331075,0.3459052753283997,0.5832649141822043,0.2985855615480545,0.11208552611741565
55,dog_357459,0.5000918080365553,0.5512317337784257,0.2759558107454595,0.21781962034014626
56,donut_109798,0.3568920921166943,0.5362286738662014,0.2762907632264617,0.22987622623636703
57,donut_148957,0.33784930791776985,0.3408797061277951,0.23357013063926008,0.1517489187557246
58,elephant_83113,0.3624826976710204,0.4760699165352151,0.26343971385204945,0.20715851840913607
59,elephant_97230,0.35017709609155245,0.5684867301691839,0.41069486294934787,0.30514680708843
60,fire hydrant_293071,0.2789718346388553,0.4671228287688154,0.13892070678048715,0.1382865014624185
