,category,task,head,layer,img,pcc,rmse
43,vehicle,DET,0,5,1226,0.6009304632155189,0.0671589897097181
44,vehicle,DET,0,6,1226,0.48621920847429806,0.07305786604779034
45,vehicle,DET,0,7,1226,0.644913491486968,0.0743707658390856
46,vehicle,DET,0,8,1226,0.7776176876076945,0.05391508495685637
47,vehicle,DET,0,9,1226,0.7563143003235341,0.055983262789402036
48,vehicle,DET,0,10,1226,0.8011770421734705,0.05715662365025788
49,vehicle,DET,0,11,1226,0.5569248972889002,0.07578904720200223
50,vehicle,DET,0,12,1226,0.648255317196296,0.07340097974259897
51,vehicle,DET,0,13,1226,0.33808886617401046,0.08179520776193777
52,vehicle,DET,0,1,1252,0.5156726248210523,0.05942326447791476
53,vehicle,DET,0,2,1252,0.6230197390303207,0.05992079763460633
54,vehicle,DET,0,3,1252,0.6173156179834871,0.05991520137882048
55,vehicle,DET,0,4,1252,0.6134491733001874,0.05903766895113713
56,vehicle,DET,0,5,1252,0.6243019813245085,0.05331657242221167
57,vehicle,DET,0,6,1252,0.5016512299384429,0.05958419109833385
58,vehicle,DET,0,7,1252,0.4297484855687928,0.08616234770335313
59,vehicle,DET,0,8,1252,0.7496374512553003,0.04584600694332626
60,vehicle,DET,0,9,1252,0.7115037652311647,0.04994893880153853
61,vehicle,DET,0,10,1252,0.7114414559441993,0.04988930757852926
62,vehicle,DET,0,11,1252,0.6385481361612529,0.056926899749597026
63,vehicle,DET,0,12,1252,0.47711175300466957,0.06206581473529215
64,vehicle,DET,0,13,1252,0.3983381321289065,0.06543200437503391
65,vehicle,DET,0,1,1319,0.6137923333285932,0.04303023003121566
66,vehicle,DET,0,2,1319,0.6802528826281885,0.039381235606136114
67,vehicle,DET,0,3,1319,0.5972704531864024,0.04286017851519345
68,vehicle,DET,0,4,1319,0.5281952786684434,0.04429365831107713
69,vehicle,DET,0,5,1319,0.12904505144942574,0.08287875667951897
70,vehicle,DET,0,6,1319,0.44772151261853826,0.05980244927483892
71,vehicle,DET,0,7,1319,0.7471797792770608,0.04489749197768308
72,vehicle,DET,0,8,1319,0.8452435257377444,0.0279254525875388
73,vehicle,DET,0,9,1319,0.8792404933674357,0.023937105996867877
74,vehicle,DET,0,10,1319,0.8792404932018365,0.02393710605409109
75,vehicle,DET,0,11,1319,0.8322886860362116,0.032053518964856
76,vehicle,DET,0,12,1319,0.43607239906618106,0.04493787855529977
77,vehicle,DET,0,13,1319,0.46963260235475557,0.04529617742922421
78,vehicle,DET,0,1,1365,0.5144488399869416,0.04444748821848027
79,vehicle,DET,0,2,1365,0.6042940602722748,0.042171755280079826
80,vehicle,DET,0,3,1365,0.5570161078321209,0.0436758976169226
81,vehicle,DET,0,4,1365,0.5318446198042985,0.044460368032429504
82,vehicle,DET,0,5,1365,0.4524550120372346,0.057794309983152374
83,vehicle,DET,0,6,1365,0.2620157425038667,0.07014817793329405
84,vehicle,DET,0,7,1365,0.671792755270477,0.05951454310025696
85,vehicle,DET,0,8,1365,0.6866579409032364,0.05567507638306285
86,vehicle,DET,0,9,1365,0.9335445927931143,0.017956199262789137
87,vehicle,DET,0,10,1365,0.9242475052927056,0.019229184937309126
88,vehicle,DET,0,11,1365,0.7194604438885013,0.03662675974505242
89,vehicle,DET,0,12,1365,0.6848286572861811,0.03788441546700715
90,vehicle,DET,0,13,1365,0.4476858702798018,0.04590066101963871
91,vehicle,DET,0,1,183,0.7115131993001444,0.0395115612314229
92,vehicle,DET,0,2,183,0.6751154920051594,0.0424258571483123
93,vehicle,DET,0,3,183,0.618028482547691,0.04246348542255349
94,vehicle,DET,0,4,183,0.6815565317679961,0.04169990127584875
95,vehicle,DET,0,5,183,0.019591165075452447,0.08571162403715502
96,vehicle,DET,0,6,183,0.39951458099736153,0.05691123775716216
97,vehicle,DET,0,7,183,0.05415991953209991,0.11658032612917543
98,vehicle,DET,0,8,183,0.8495113698737351,0.028618393495352244
99,vehicle,DET,0,9,183,0.8607182984237901,0.027369562913275882
100,vehicle,DET,0,10,183,0.8722703244590865,0.026217247716449482
101,vehicle,DET,0,11,183,0.31561202419620643,0.051277226620118375
102,vehicle,DET,0,12,183,0.8942320037192857,0.027889493325885386
103,vehicle,DET,0,13,183,0.43940406347621797,0.04922796592169333
104,vehicle,DET,0,1,362,0.4745344000410723,0.05502402748478162
105,vehicle,DET,0,2,362,0.5285050836886703,0.05394376417149905
106,vehicle,DET,0,3,362,0.6012675651692462,0.049951235683423266
107,vehicle,DET,0,4,362,0.6966912801058843,0.04838392434582366
108,vehicle,DET,0,5,362,0.5817877789567028,0.0509994354676944
109,vehicle,DET,0,6,362,0.8811623588824841,0.031235272312876785
110,vehicle,DET,0,7,362,0.3843915549025684,0.08191497168278088
111,vehicle,DET,0,8,362,0.2019918174475475,0.08900505133547192
112,vehicle,DET,0,9,362,0.9474762026300378,0.02325679509538755
113,vehicle,DET,0,10,362,0.947476201379327,0.02325679692475206
114,vehicle,DET,0,11,362,0.733242782235692,0.04562458264556352
115,vehicle,DET,0,12,362,0.7360866671273819,0.04501179661532408
116,vehicle,DET,0,13,362,0.31854846262847175,0.059867327970020284
117,vehicle,DET,0,1,407,0.5355218147709415,0.09159613404778333
118,vehicle,DET,0,2,407,0.6390642259890243,0.08744111843633641
119,vehicle,DET,0,3,407,0.6281578077984413,0.08731744578894582
120,vehicle,DET,0,4,407,0.6742829975331321,0.08681600551168732
121,vehicle,DET,0,5,407,0.4847499990585169,0.08848005611104505
122,vehicle,DET,0,6,407,0.6042054295645797,0.08402145994695732
123,vehicle,DET,0,7,407,0.5220428257993335,0.0838881817997553
124,vehicle,DET,0,8,407,0.851980084086746,0.05652098726038543
125,vehicle,DET,0,9,407,0.8745228068986882,0.06653737192578664
126,vehicle,DET,0,10,407,0.6957976453175334,0.07667576451139814
127,vehicle,DET,0,11,407,0.6210667378641951,0.08847756575168828
128,vehicle,DET,0,12,407,0.7013287854996054,0.0849460345279244
129,vehicle,DET,0,13,407,0.30296271984671796,0.09721228049059033
130,vehicle,DET,0,1,447,0.7314585550234319,0.04968154008235478
131,vehicle,DET,0,2,447,0.7285605147509051,0.05013177321930289
132,vehicle,DET,0,3,447,0.6905267432236308,0.05213419139223496
133,vehicle,DET,0,4,447,0.6887118661038295,0.050916956173937065
134,vehicle,DET,0,5,447,0.38293366468756884,0.055353487001397306
135,vehicle,DET,0,6,447,0.2720800488019067,0.05902185363187883
136,vehicle,DET,0,7,447,0.27835064589637326,0.08749063324213645
137,vehicle,DET,0,8,447,0.7981455363039041,0.03728535466670594
138,vehicle,DET,0,9,447,0.8055177032122514,0.03746484171493564
139,vehicle,DET,0,10,447,0.8036335215645837,0.037110717409210875
140,vehicle,DET,0,11,447,0.5851733392262435,0.05044741054720355
141,vehicle,DET,0,12,447,0.6127461104383806,0.04948548111620881
142,vehicle,DET,0,13,447,0.5311662291445148,0.055356960264341865
143,vehicle,DET,0,1,610,0.7006269987373321,0.0670520276622284
144,vehicle,DET,0,2,610,0.7229534015645914,0.06717417552303456
145,vehicle,DET,0,3,610,0.7356499648421753,0.06537071942985202
146,vehicle,DET,0,4,610,0.7654013880907424,0.06648564629532644
147,vehicle,DET,0,5,610,0.7495332286398696,0.05510790935868445
148,vehicle,DET,0,6,610,0.7577502276928464,0.06007866093065218
149,vehicle,DET,0,7,610,0.6406401045192704,0.06717901797947731
150,vehicle,DET,0,8,610,0.5981157886811767,0.06015924757858673
151,vehicle,DET,0,9,610,0.8271106068283899,0.052493019038976026
152,vehicle,DET,0,11,610,0.7259047050597294,0.0637655864658997
153,vehicle,DET,0,13,610,0.4624556860663952,0.07316159704632004
