,subject_no,Trial_Index_,block,text,block_sequence,block_name,block_num,path,image,trialID,label,category,number,lastBlockType
18,2,19,2,white plastic bag,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,348.jpg,19,human,person,,
19,2,20,2,black head and body,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,232.jpg,20,human,person,,
20,2,21,2,"human shape, cant really tell",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,129.jpg,21,human,person,,
21,2,22,2,i cant tell,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,415.jpg,22,human,person,,
22,2,23,2,"didnt pay attentions, this blurs a lot",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,47.jpg,23,human,person,,
23,2,24,2,can see his head arms everything,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,808.jpg,24,human,person,,
24,2,25,2,black head and upper body,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,99.jpg,25,human,person,,
25,2,26,2,"white tshirt, bblack head",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,250.jpg,26,human,person,,
26,2,27,2,lighter than surroundings,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,631.jpg,27,human,person,,
27,2,28,2,"clearly human, can see her body",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,865.jpg,28,human,person,,
28,2,29,2,can see legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,186.jpg,29,human,person,,
29,2,30,2,see the legs walking,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,421.jpg,30,human,person,,
30,2,31,2,white shirt,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,59.jpg,31,human,person,,
31,2,32,2,lighter in the light,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,760.jpg,32,human,person,,
32,2,33,2,human shape,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,324.jpg,33,human,person,,
33,2,34,2,legs,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,608.jpg,34,human,person,,
34,2,35,2,head with black jackets,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,480.jpg,35,human,person,,
35,2,36,2,upper body and head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,805.jpg,36,human,person,,
36,2,37,2,"red backpack, walking",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,558.jpg,37,human,person,,
37,2,38,2,green tshirt,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,389.jpg,38,human,person,,
38,2,39,2,in black,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,775.jpg,39,human,person,,
39,2,40,2,"human shape, darder than surroundings",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,85.jpg,40,human,person,,
40,2,41,2,white clothes,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,470.jpg,41,human,person,,
41,2,42,2,legs head body,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,411.jpg,42,human,person,,
42,2,43,2,head white hair especially,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,757.jpg,43,human,person,,
43,2,44,2,"just human shape, cant really tell",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,748.jpg,44,human,person,,
44,2,45,2,different from the fense,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,703.jpg,45,human,person,,
45,2,46,2,head and upper body,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,829.jpg,46,human,person,,
46,2,47,2,"human shape, cant really tell",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,845.jpg,47,human,person,,
47,2,48,2,"a bit blur, but black human shape",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,286.jpg,48,human,person,,
