,subject_no,Trial_Index_,block,text,block_sequence,block_name,block_num,path,image,trialID,label,category,number,lastBlockType
43,1,44,2,in car park,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,425.jpg,44,vehicle,car,,
44,1,45,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,180.jpg,45,vehicle,car,,
45,1,46,2,wheels,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,344.jpg,46,vehicle,car,,
46,1,47,2,dont know,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,210.jpg,47,vehicle,car,,
47,1,48,2,car number?,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,383.jpg,48,vehicle,car,,
48,1,49,2,wheel,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/001ET1,297.jpg,49,vehicle,car,,
0,1,1,3,red lights on,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,764.jpg,1,vehicle,car,,
1,1,2,3,aside road,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,514.jpg,2,vehicle,car,,
2,1,3,3,lights on and car plate,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,698.jpg,3,vehicle,car,,
3,1,4,3,dont know,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,715.jpg,4,vehicle,car,,
4,1,5,3,dontknow,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,857.jpg,5,vehicle,car,,
5,1,6,3,"in front of a car, on road",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,902.jpg,6,vehicle,car,,
6,1,7,3,"car plate, wheels",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,822.jpg,7,vehicle,car,,
7,1,8,3,"taxi, wheels",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,485.jpg,8,vehicle,car,,
8,1,9,3,"red lights on, wheels",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,437.jpg,9,vehicle,car,,
9,1,10,3,wheels and lights on,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,803.jpg,10,vehicle,car,,
10,1,11,3,on road,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,610.jpg,11,vehicle,car,,
11,1,12,3,dontknow,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,777.jpg,12,vehicle,car,,
12,1,13,3,lights on,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,503.jpg,13,vehicle,car,,
13,1,14,3,"back door opened, aside the road",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,859.jpg,14,vehicle,car,,
14,1,15,3,dont know,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,542.jpg,15,vehicle,car,,
15,1,16,3,wheels,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,842.jpg,16,vehicle,car,,
16,1,17,3,lights on,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,796.jpg,17,vehicle,car,,
17,1,18,3,lights on,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,804.jpg,18,vehicle,car,,
18,1,19,3,dontknow,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,648.jpg,19,vehicle,car,,
19,1,20,3,wheel,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,740.jpg,20,vehicle,car,,
20,1,21,3,in front of another car,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,758.jpg,21,vehicle,car,,
21,1,22,3,"in front of another car, on road",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,867.jpg,22,vehicle,car,,
22,1,23,3,"lights on, waiting for traffic lights",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,668.jpg,23,vehicle,car,,
23,1,24,3,"lights on, on road",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,930.jpg,24,vehicle,car,,
24,1,25,3,big front window,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,585.jpg,25,vehicle,car,,
25,1,26,3,red light box at the back,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,843.jpg,26,vehicle,car,,
26,1,27,3,in front of another car,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,452.jpg,27,vehicle,car,,
27,1,28,3,"wheels, and red lights on",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,692.jpg,28,vehicle,car,,
28,1,29,3,dont know,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,784.jpg,29,vehicle,car,,
29,1,30,3,lights on,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,441.jpg,30,vehicle,car,,
30,1,31,3,"light on, on highway",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,611.jpg,31,vehicle,car,,
31,1,32,3,taller than the car behind it ,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,856.jpg,32,vehicle,car,,
32,1,33,3,on road,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,670.jpg,33,vehicle,car,,
33,1,34,3,"aside roa, wheels",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,727.jpg,34,vehicle,car,,
34,1,35,3,lights,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,838.jpg,35,vehicle,car,,
35,1,36,3,car plate,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,896.jpg,36,vehicle,car,,
36,1,37,3,wheels,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,711.jpg,37,vehicle,car,,
37,1,38,3,red light box,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,899.jpg,38,vehicle,car,,
38,1,39,3,dont know,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,848.jpg,39,vehicle,car,,
39,1,40,3,wheel,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,617.jpg,40,vehicle,car,,
40,1,41,3,wheel,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,570.jpg,41,vehicle,car,,
41,1,42,3,"wheel, rear mirror",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,600.jpg,42,vehicle,car,,
42,1,43,3,dont know,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,634.jpg,43,vehicle,car,,
43,1,44,3,lights ,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,478.jpg,44,vehicle,car,,
44,1,45,3,red lights,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,505.jpg,45,vehicle,car,,
45,1,46,3,wheels,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,699.jpg,46,vehicle,car,,
46,1,47,3,"red lights, car plate",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,629.jpg,47,vehicle,car,,
47,1,48,3,"lights on, moving on highwat",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,797.jpg,48,vehicle,car,,
48,1,49,3,"lights on,on road",3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/001ET2,447.jpg,49,vehicle,car,,
0,2,1,2,short length,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,66.jpg,1,vehicle,car,,
1,2,2,2,like a box,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,33.jpg,2,vehicle,car,,
2,2,3,2,taillight,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,49.jpg,3,vehicle,car,,
3,2,4,2,lisenec,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,210.jpg,4,vehicle,car,,
4,2,5,2,four doors,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,376.jpg,5,vehicle,car,,
5,2,6,2,tires,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,245.jpg,6,vehicle,car,,
6,2,7,2,taillights,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,355.jpg,7,vehicle,car,,
7,2,8,2,taillights,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,401.jpg,8,vehicle,car,,
8,2,9,2,windows,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,134.jpg,9,vehicle,car,,
9,2,10,2,taillights,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,67.jpg,10,vehicle,car,,
10,2,11,2,lisence,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,362.jpg,11,vehicle,car,,
11,2,12,2,tires,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,209.jpg,12,vehicle,car,,
12,2,13,2,tires,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,329.jpg,13,vehicle,car,,
13,2,14,2,rear mirrow,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,113.jpg,14,vehicle,car,,
14,2,15,2,four doors,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,68.jpg,15,vehicle,car,,
15,2,16,2,lisences,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,133.jpg,16,vehicle,car,,
16,2,17,2,taillight and lisences,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,273.jpg,17,vehicle,car,,
17,2,18,2,taillight and lisence,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,327.jpg,18,vehicle,car,,
18,2,19,2,taillights,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,388.jpg,19,vehicle,car,,
19,2,20,2,forelights,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,117.jpg,20,vehicle,car,,
20,2,21,2,lisences,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,188.jpg,21,vehicle,car,,
21,2,22,2,taillight and lisences,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,407.jpg,22,vehicle,car,,
22,2,23,2,tires,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,141.jpg,23,vehicle,car,,
23,2,24,2,lisences,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,269.jpg,24,vehicle,car,,
24,2,25,2,tires,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,36.jpg,25,vehicle,car,,
25,2,26,2,brand,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,383.jpg,26,vehicle,car,,
26,2,27,2,taillight,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,431.jpg,27,vehicle,car,,
27,2,28,2,taillights and rear mirrow,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,192.jpg,28,vehicle,car,,
28,2,29,2,tires,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,344.jpg,29,vehicle,car,,
29,2,30,2,tires,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,342.jpg,30,vehicle,car,,
30,2,31,2,moving,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,381.jpg,31,vehicle,car,,
31,2,32,2,forelights,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,425.jpg,32,vehicle,car,,
32,2,33,2,like a van?,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,293.jpg,33,vehicle,car,,
33,2,34,2,taillights,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,183.jpg,34,vehicle,car,,
34,2,35,2,lisences and moving fast,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,100.jpg,35,vehicle,car,,
35,2,36,2,tires,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,52.jpg,36,vehicle,car,,
36,2,37,2,taillight,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,171.jpg,37,vehicle,car,,
37,2,38,2,rear mirrow,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,99.jpg,38,vehicle,car,,
38,2,39,2,tire,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,297.jpg,39,vehicle,car,,
39,2,40,2,forelight,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,390.jpg,40,vehicle,car,,
40,2,41,2,taillight,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,241.jpg,41,vehicle,car,,
41,2,42,2,tires,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,126.jpg,42,vehicle,car,,
42,2,43,2,taillight,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,30.jpg,43,vehicle,car,,
43,2,44,2,taillight,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,74.jpg,44,vehicle,car,,
44,2,45,2,rear mirrow,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,406.jpg,45,vehicle,car,,
45,2,46,2,taillight,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,87.jpg,46,vehicle,car,,
46,2,47,2,four tires ,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,180.jpg,47,vehicle,car,,
47,2,48,2,backup tires,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,178.jpg,48,vehicle,car,,
48,2,49,2,taillight,2,exp_car1,1,/Veh_ExpTask_Test1_car_deploy/results/002ET1,274.jpg,49,vehicle,car,,
0,2,1,3,taillight and lisences,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/002ET2,437.jpg,1,vehicle,car,,
1,2,2,3,forelight,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/002ET2,514.jpg,2,vehicle,car,,
2,2,3,3,shape,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/002ET2,843.jpg,3,vehicle,car,,
3,2,4,3,lights,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/002ET2,447.jpg,4,vehicle,car,,
4,2,5,3,yellow block like a lisence ,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/002ET2,670.jpg,5,vehicle,car,,
5,2,6,3,bright color on the road,3,exp_car2,1,/Veh_ExpTask_Test1_car_deploy/results/002ET2,610.jpg,6,vehicle,car,,
