,Layer,Cluster,Task,Image,Similarity
18823,backbone.res2.2.conv2,3,PV vs FullGradCam,broccoli_389381,0.11192124412314201
18824,backbone.res2.2.conv3,3,PV vs FullGradCam,broccoli_389381,0.06622524313599355
18825,backbone.res3.0.conv1,3,PV vs FullGradCam,broccoli_389381,0.13140267268964437
18826,backbone.res3.0.conv2,3,PV vs FullGradCam,broccoli_389381,0.09796384851485934
18827,backbone.res3.0.conv3,3,PV vs FullGradCam,broccoli_389381,0.10479849694576109
18828,backbone.res3.1.conv1,3,PV vs FullGradCam,broccoli_389381,0.15405812523253343
18829,backbone.res3.1.conv2,3,PV vs FullGradCam,broccoli_389381,0.089897385608944
18830,backbone.res3.1.conv3,3,PV vs FullGradCam,broccoli_389381,0.06628132185414533
18831,backbone.res3.2.conv1,3,PV vs FullGradCam,broccoli_389381,0.09133870779678714
18832,backbone.res3.2.conv2,2,PV vs FullGradCam,broccoli_389381,0.08553134608750254
18833,backbone.res3.2.conv3,3,PV vs FullGradCam,broccoli_389381,0.12661797585061854
18834,backbone.res3.3.conv1,3,PV vs FullGradCam,broccoli_389381,0.09617283482876325
18835,backbone.res3.3.conv2,3,PV vs FullGradCam,broccoli_389381,0.08375570272093195
18836,backbone.res3.3.conv3,3,PV vs FullGradCam,broccoli_389381,0.07180639121567982
18837,backbone.res4.0.conv1,3,PV vs FullGradCam,broccoli_389381,0.15139975523555424
18838,backbone.res4.0.conv2,3,PV vs FullGradCam,broccoli_389381,0.0829060903237797
18839,backbone.res4.0.conv3,1,PV vs FullGradCam,broccoli_389381,0.07979435906392887
18840,backbone.res4.1.conv1,3,PV vs FullGradCam,broccoli_389381,0.08008653682022707
18841,backbone.res4.1.conv2,2,PV vs FullGradCam,broccoli_389381,0.307799857343495
18842,backbone.res4.1.conv3,1,PV vs FullGradCam,broccoli_389381,0.06630885174033327
18843,backbone.res4.2.conv1,3,PV vs FullGradCam,broccoli_389381,0.08724027027376044
18844,backbone.res4.2.conv2,3,PV vs FullGradCam,broccoli_389381,0.09093408193617192
18845,backbone.res4.2.conv3,1,PV vs FullGradCam,broccoli_389381,0.08234012737523236
18846,backbone.res4.3.conv1,1,PV vs FullGradCam,broccoli_389381,0.08669693577090998
18847,backbone.res4.3.conv2,1,PV vs FullGradCam,broccoli_389381,0.09883306219236992
18848,backbone.res4.3.conv3,1,PV vs FullGradCam,broccoli_389381,0.06638361520368329
18849,backbone.res4.4.conv1,1,PV vs FullGradCam,broccoli_389381,0.06669636746246538
18850,backbone.res4.4.conv2,1,PV vs FullGradCam,broccoli_389381,0.07008973353508753
18851,backbone.res4.4.conv3,1,PV vs FullGradCam,broccoli_389381,0.06672792542433256
18852,backbone.res4.5.conv1,1,PV vs FullGradCam,broccoli_389381,0.0666770422809614
18853,backbone.res4.5.conv2,1,PV vs FullGradCam,broccoli_389381,0.29287660554690226
18854,backbone.res4.5.conv3,2,PV vs FullGradCam,broccoli_389381,0.06756082167257953
18855,roi_heads.pooler.level,2,PV vs FullGradCam,broccoli_389381,0.0755246169284355
18856,roi_heads.res5.0.conv1,2,PV vs FullGradCam,broccoli_389381,0.07122355916753077
18857,roi_heads.res5.0.conv2,4,PV vs FullGradCam,broccoli_389381,0.07571687861639038
18858,roi_heads.res5.0.conv3,4,PV vs FullGradCam,broccoli_389381,0.07395181172258808
18859,roi_heads.res5.1.conv1,5,PV vs FullGradCam,broccoli_389381,0.14927655601158968
18860,roi_heads.res5.1.conv2,5,PV vs FullGradCam,broccoli_389381,0.13780467236328645
18861,roi_heads.res5.1.conv3,2,PV vs FullGradCam,broccoli_389381,0.07262770989396346
18862,roi_heads.res5.2.conv1,4,PV vs FullGradCam,broccoli_389381,0.07140536148888302
18863,roi_heads.res5.2.conv2,2,PV vs FullGradCam,broccoli_389381,0.07859539636875167
18864,roi_heads.res5.2.conv3,1,PV vs FullGradCam,broccoli_389381,0.07263889991935708
18865,backbone.res2.0.conv1,3,PV vs FullGradCam,tv_104666,0.0854687099927796
18866,backbone.res2.0.conv2,3,PV vs FullGradCam,tv_104666,0.09881089488263037
18867,backbone.res2.0.conv3,3,PV vs FullGradCam,tv_104666,0.08583949083847169
18868,backbone.res2.1.conv1,3,PV vs FullGradCam,tv_104666,0.12559983414432482
18869,backbone.res2.1.conv2,3,PV vs FullGradCam,tv_104666,0.11475413701418218
18870,backbone.res2.1.conv3,3,PV vs FullGradCam,tv_104666,0.08119246027898605
18871,backbone.res2.2.conv1,3,PV vs FullGradCam,tv_104666,0.1022326142863391
18872,backbone.res2.2.conv2,3,PV vs FullGradCam,tv_104666,0.10786257551213362
18873,backbone.res2.2.conv3,3,PV vs FullGradCam,tv_104666,0.0951213114552828
